zscore,vwap_dist_bps,satellite_pct,cooldown_bars,hold_bars,max_trades_day,avg_alpha_pct,avg_sharpe,avg_trades,avg_max_dd,min_alpha,max_alpha,pct_positive_alpha
3.2000,35.0000,0.7000,10,6,8,-0.8406,2.8189,61.6000,1.0976,-5.7146,3.0077,40.0000
3.2000,80.0000,0.7000,6,4,12,-0.8568,2.7623,47.4000,1.1018,-5.7631,2.8946,40.0000
2.4000,80.0000,0.7000,6,4,12,-0.8718,2.7368,55.4000,1.1264,-5.7320,2.7851,40.0000
2.8000,80.0000,0.7000,6,4,12,-0.8727,2.6086,50.8000,1.1114,-5.8235,2.9194,40.0000
2.0000,80.0000,0.7000,6,4,12,-0.8734,2.7022,60.4000,1.1245,-5.7463,2.7820,40.0000
3.2000,35.0000,0.7000,6,4,12,-0.8780,2.7141,68.0000,1.1076,-5.7167,2.8668,40.0000
2.8000,35.0000,0.7000,10,6,8,-0.8879,2.5259,63.6000,1.1072,-5.7584,3.0318,40.0000
3.2000,55.0000,0.7000,10,6,8,-0.8890,2.8800,54.8000,1.0732,-5.6843,2.6061,40.0000
3.2000,35.0000,0.7000,14,8,6,-0.8909,2.7093,54.4000,1.0753,-5.7343,2.8206,40.0000
3.2000,55.0000,0.7000,6,4,12,-0.8923,2.9015,61.2000,1.0842,-5.6864,2.5171,40.0000
2.4000,55.0000,0.7000,6,4,12,-0.8985,2.6863,70.0000,1.0947,-5.6873,2.7051,40.0000
2.4000,35.0000,0.7000,6,4,12,-0.8993,2.4791,75.8000,1.1268,-5.7014,3.0219,40.0000
3.2000,35.0000,0.6000,10,6,8,-0.9024,2.5632,59.0000,1.0935,-5.8078,2.8723,40.0000
2.0000,55.0000,0.7000,6,4,12,-0.9025,2.6426,78.0000,1.1064,-5.7061,2.6877,40.0000
2.8000,55.0000,0.7000,10,6,8,-0.9045,2.7083,58.6000,1.0827,-5.7268,2.6627,40.0000
2.0000,35.0000,0.7000,6,4,12,-0.9065,2.5046,86.0000,1.1303,-5.7326,2.9202,40.0000
2.8000,35.0000,0.7000,6,4,12,-0.9117,2.4427,71.0000,1.1141,-5.7635,2.9563,40.0000
2.4000,35.0000,0.7000,10,6,8,-0.9215,2.5032,65.4000,1.1193,-5.6706,2.8762,40.0000
2.0000,35.0000,0.7000,10,6,8,-0.9232,2.5311,74.2000,1.1090,-5.6524,2.7701,40.0000
2.8000,55.0000,0.7000,6,4,12,-0.9246,2.6363,64.2000,1.0913,-5.7319,2.5995,40.0000
3.2000,80.0000,0.7000,10,6,8,-0.9263,2.5445,43.0000,1.0906,-5.7631,2.6864,40.0000
2.8000,35.0000,0.6000,10,6,8,-0.9306,2.3775,62.0000,1.0948,-5.8060,2.9258,40.0000
2.8000,35.0000,0.7000,14,8,6,-0.9331,2.4321,56.2000,1.0839,-5.7802,2.8427,40.0000
2.0000,55.0000,0.7000,10,6,8,-0.9344,2.6430,67.6000,1.0933,-5.6383,2.5098,40.0000
3.2000,55.0000,0.7000,14,8,6,-0.9363,2.7908,50.2000,1.0715,-5.7046,2.3730,40.0000
3.2000,80.0000,0.6000,6,4,12,-0.9442,2.4475,45.0000,1.1019,-5.8494,2.6428,40.0000
3.2000,55.0000,0.6000,10,6,8,-0.9443,2.5718,53.8000,1.0779,-5.7922,2.5908,40.0000
2.0000,55.0000,0.6000,6,4,12,-0.9454,2.4259,74.8000,1.0881,-5.7819,2.6597,40.0000
2.0000,35.0000,0.7000,14,8,6,-0.9463,2.4171,66.4000,1.1063,-5.7315,2.7553,40.0000
3.2000,35.0000,0.6000,14,8,6,-0.9486,2.4559,53.4000,1.0773,-5.8100,2.7404,40.0000
2.4000,55.0000,0.6000,6,4,12,-0.9491,2.4563,67.8000,1.0808,-5.7544,2.6402,40.0000
2.8000,55.0000,0.7000,14,8,6,-0.9493,2.5860,53.2000,1.0687,-5.7504,2.5279,40.0000
3.2000,55.0000,0.6000,6,4,12,-0.9504,2.5857,58.4000,1.0750,-5.7922,2.4906,40.0000
2.4000,100.0000,0.7000,6,4,12,-0.9506,2.6598,42.4000,1.1330,-5.6677,2.4704,40.0000
2.8000,80.0000,0.6000,6,4,12,-0.9509,2.3757,48.4000,1.1031,-5.8662,2.6471,40.0000
2.4000,55.0000,0.7000,10,6,8,-0.9509,2.5792,60.0000,1.0949,-5.6564,2.5143,40.0000
2.4000,35.0000,0.7000,14,8,6,-0.9509,2.4300,59.2000,1.0959,-5.7211,2.7431,40.0000
2.4000,80.0000,0.6000,6,4,12,-0.9533,2.4888,53.2000,1.1187,-5.7757,2.5139,40.0000
2.8000,80.0000,0.7000,10,6,8,-0.9571,2.3687,45.0000,1.1041,-5.8170,2.6374,40.0000
2.8000,55.0000,0.6000,10,6,8,-0.9572,2.4618,57.4000,1.0794,-5.7902,2.6115,40.0000
2.4000,80.0000,0.7000,10,6,8,-0.9572,2.4973,49.6000,1.1155,-5.7030,2.5361,40.0000
2.0000,80.0000,0.7000,10,6,8,-0.9578,2.4970,53.4000,1.1202,-5.6820,2.5168,40.0000
2.0000,80.0000,0.6000,6,4,12,-0.9590,2.4319,56.4000,1.1204,-5.8148,2.4786,40.0000
2.0000,100.0000,0.7000,6,4,12,-0.9613,2.5487,45.2000,1.1326,-5.7042,2.5004,40.0000
3.2000,100.0000,0.7000,6,4,12,-0.9620,2.5808,37.6000,1.1118,-5.7574,2.4159,40.0000
3.2000,35.0000,0.6000,6,4,12,-0.9650,2.3986,65.8000,1.0989,-5.8078,2.6027,40.0000
