zscore,vwap_dist_bps,satellite_pct,cooldown,hold,max_tpd,avg_alpha,avg_sharpe,avg_trades,pct_pos,min_alpha,max_alpha
3.2000,35.0000,0.7000,10,6,8,0.3778,2.1437,64.7500,50.0000,-1.7587,3.0077
3.2000,80.0000,0.7000,6,4,12,0.3697,2.1700,49.2500,50.0000,-1.7543,2.8946
2.8000,80.0000,0.7000,6,4,12,0.3649,2.1003,53.2500,50.0000,-1.7840,2.9194
2.0000,80.0000,0.7000,6,4,12,0.3448,2.0573,61.2500,50.0000,-1.8088,2.7820
2.4000,80.0000,0.7000,6,4,12,0.3433,2.0630,56.5000,50.0000,-1.7896,2.7851
3.2000,35.0000,0.7000,6,4,12,0.3316,2.0164,72.5000,50.0000,-1.7647,2.8668
2.8000,35.0000,0.7000,10,6,8,0.3297,1.8667,66.5000,50.0000,-1.8092,3.0318
3.2000,35.0000,0.6000,10,6,8,0.3239,2.0153,63.5000,50.0000,-1.7351,2.8723
3.2000,35.0000,0.7000,14,8,6,0.3199,2.0433,56.2500,50.0000,-1.7329,2.8206
3.2000,55.0000,0.7000,10,6,8,0.3099,2.1581,56.2500,50.0000,-1.6759,2.6061
3.2000,55.0000,0.7000,6,4,12,0.3062,2.1887,64.0000,50.0000,-1.6817,2.5171
2.8000,35.0000,0.7000,6,4,12,0.3012,1.7723,75.5000,50.0000,-1.8212,2.9563
2.4000,35.0000,0.7000,6,4,12,0.3012,1.6869,80.2500,50.0000,-1.8548,3.0219
2.8000,55.0000,0.7000,10,6,8,0.3011,2.0295,60.2500,50.0000,-1.7254,2.6627
2.0000,35.0000,0.7000,6,4,12,0.3000,1.7844,90.5000,50.0000,-1.8162,2.9202
2.4000,55.0000,0.7000,6,4,12,0.2986,1.9164,73.0000,50.0000,-1.7862,2.7051
2.0000,55.0000,0.7000,6,4,12,0.2984,1.9045,80.5000,50.0000,-1.8127,2.6877
2.8000,35.0000,0.6000,10,6,8,0.2883,1.7811,66.2500,50.0000,-1.7816,2.9258
3.2000,80.0000,0.7000,10,6,8,0.2829,1.8978,43.7500,50.0000,-1.7543,2.6864
3.2000,80.0000,0.6000,6,4,12,0.2820,1.9529,48.0000,50.0000,-1.7307,2.6428
2.8000,35.0000,0.7000,14,8,6,0.2786,1.7903,58.0000,50.0000,-1.7801,2.8427
2.8000,80.0000,0.6000,6,4,12,0.2780,1.8982,51.7500,50.0000,-1.7604,2.6471
2.8000,55.0000,0.7000,6,4,12,0.2773,1.9491,67.0000,50.0000,-1.7376,2.5995
3.2000,55.0000,0.6000,10,6,8,0.2677,1.9944,57.0000,50.0000,-1.6694,2.5908
3.2000,35.0000,0.6000,14,8,6,0.2668,1.8853,56.7500,50.0000,-1.7033,2.7404
2.4000,35.0000,0.7000,10,6,8,0.2657,1.6560,67.7500,50.0000,-1.8183,2.8762
2.0000,55.0000,0.6000,6,4,12,0.2637,1.7909,79.0000,50.0000,-1.7952,2.6597
3.2000,55.0000,0.6000,6,4,12,0.2600,2.0118,62.5000,50.0000,-1.6753,2.4906
2.0000,35.0000,0.7000,10,6,8,0.2591,1.6583,76.2500,50.0000,-1.8541,2.7701
2.8000,80.0000,0.7000,10,6,8,0.2579,1.7875,46.0000,50.0000,-1.7777,2.6374
3.2000,55.0000,0.7000,14,8,6,0.2557,2.0842,51.0000,50.0000,-1.6579,2.3730
2.0000,80.0000,0.6000,6,4,12,0.2550,1.8639,59.0000,50.0000,-1.7856,2.4786
3.2000,80.0000,0.6000,10,6,8,0.2530,1.8185,43.0000,50.0000,-1.7307,2.6506
2.4000,80.0000,0.6000,6,4,12,0.2524,1.8453,55.2500,50.0000,-1.7665,2.5139
2.4000,55.0000,0.6000,6,4,12,0.2523,1.7678,71.7500,50.0000,-1.7729,2.6402
2.8000,55.0000,0.6000,10,6,8,0.2510,1.8543,60.5000,50.0000,-1.7159,2.6115
2.8000,55.0000,0.7000,14,8,6,0.2510,1.9215,54.2500,50.0000,-1.7034,2.5279
2.0000,35.0000,0.7000,14,8,6,0.2500,1.6810,68.2500,50.0000,-1.8124,2.7553
3.2000,35.0000,0.6000,6,4,12,0.2457,1.8096,71.7500,50.0000,-1.7411,2.6027
2.4000,35.0000,0.7000,14,8,6,0.2416,1.6640,60.7500,50.0000,-1.7892,2.7431
2.0000,55.0000,0.7000,10,6,8,0.2416,1.7713,68.0000,50.0000,-1.8009,2.5098
