symbol,price,total_score,grade,vwap_crossing_score,vwap_deviation_score,mean_reversion_score,range_fitness_score,trend_range_ratio_score,liquidity_score,avg_range_pct,period_return_pct,adv_millions,reversion_rate_pct,n_days
KLAC,1524.489990234375,91.8,A,20.0,15.0,20.0,18.7,9.4,8.7,3.37,3.75,2731.0,25.9,7
AMD,200.19000244140625,90.9,A,20.0,15.0,15.3,17.3,15.0,8.3,3.23,0.38,33321.0,21.0,7
MU,412.25,89.9,A,20.0,15.0,16.9,14.3,15.0,8.8,4.5,-0.94,42909.0,22.3,7
AMAT,372.2300109863281,89.2,A,20.0,15.0,11.2,19.6,14.6,8.8,3.56,1.29,4377.0,17.5,7
QS,6.914999961853027,89.0,A,20.0,15.0,19.1,18.0,13.0,3.9,3.86,-2.26,176.0,24.2,7
TER,320.1700134277344,88.4,A,19.6,15.0,14.8,16.7,13.6,8.6,4.07,2.04,2709.0,20.6,7
MPWR,1142.72998046875,88.2,A,20.0,15.0,15.8,16.0,13.2,8.4,4.21,-2.4,1121.0,21.4,7
ASML,1451.699951171875,86.6,A,20.0,15.0,15.2,13.2,15.0,8.3,2.82,0.47,15132.0,20.9,7
BKNG,4236.365234375,86.5,A,20.0,15.0,15.4,14.9,12.3,8.9,4.39,3.07,11228.0,21.1,7
LRCX,233.8300018310547,85.6,A,17.5,15.0,12.7,16.5,15.0,9.0,4.12,-0.93,3655.0,18.8,7
ARM,127.44000244140625,84.8,A,20.0,15.0,10.4,16.4,14.2,8.8,4.12,1.72,1483.0,16.8,7
LULU,185.17999267578125,84.3,A,20.0,15.0,7.6,19.7,13.2,8.8,3.55,2.01,657.0,14.5,7
PLTR,137.2100067138672,83.5,A,15.2,15.0,16.4,18.9,9.1,8.9,3.69,4.32,26661.0,21.9,7
PODD,246.5399932861328,83.3,A,20.0,15.0,11.7,18.6,10.3,7.6,3.36,-3.32,347.0,18.0,7
SOFI,17.764999389648438,83.1,A,20.0,15.0,17.2,16.5,5.5,8.8,4.11,-6.94,3845.0,22.6,7
INTC,45.60900115966797,82.4,A,20.0,15.0,9.0,15.9,13.4,9.1,4.21,2.27,11290.0,15.6,7
